0,31,8,32,61,10,22,52,21,8,35,55,34,5,48,57,47,31,21,31,34,31,48,20,8,45,8,4,61,58,60,COVID-35
1,33,4,34,58,6,18,61,17,4,32,62,30,3,45,61,44,33,17,33,31,34,45,20,4,48,3,3,59,62,58,COVID-54
2,36,2,34,52,16,14,51,15,13,27,53,28,13,39,53,40,35,15,35,27,34,40,26,2,44,3,12,52,52,53,COVID-73
3,33,16,31,56,16,25,51,27,12,34,54,37,9,44,55,47,33,26,32,36,31,46,24,15,44,16,7,54,56,57,COVID-148
4,30,10,32,51,13,21,45,20,11,31,48,30,10,42,49,40,31,20,31,31,31,41,21,10,36,10,11,52,50,51,COVID-194
5,35,3,32,53,11,14,58,17,8,26,59,30,5,38,61,42,34,15,33,28,32,40,19,2,53,4,1,50,62,55,COVID-207
6,32,3,30,51,8,14,57,16,4,26,60,28,2,38,61,40,32,15,31,27,31,39,17,3,49,4,2,50,62,52,COVID-292
7,35,7,36,39,22,15,50,15,19,23,53,22,18,31,54,30,36,15,36,23,36,31,28,8,44,7,17,39,56,38,COVID-308
8,36,5,33,44,14,14,53,16,10,23,56,26,8,33,56,36,35,15,34,25,34,34,24,4,44,6,7,42,56,46,COVID-334
9,32,4,31,57,10,16,53,17,8,30,55,31,6,43,56,44,32,17,32,30,31,44,22,3,44,4,4,56,58,58,COVID-428
10,30,2,29,40,12,11,48,12,9,20,50,22,8,30,50,31,30,12,29,21,29,30,21,2,41,3,7,39,50,41,COVID-498
11,32,5,30,57,10,17,55,19,6,30,58,32,3,43,60,45,31,18,31,31,30,44,20,4,46,5,2,56,61,58,COVID-567
12,31,8,32,54,7,20,54,19,6,32,56,30,4,43,56,42,31,19,31,31,32,43,19,8,43,7,3,55,57,54,COVID-799
13,30,11,31,48,12,21,47,20,10,30,50,29,9,39,51,38,31,20,31,30,31,39,20,12,41,11,7,48,53,48,COVID-841
14,34,11,34,47,19,20,50,20,17,29,52,29,15,38,54,38,34,20,34,29,34,38,26,11,42,10,14,47,55,47,COVID-847
15,29,6,30,49,11,17,48,16,7,28,53,27,6,39,56,38,29,17,29,27,29,38,19,6,40,6,4,50,59,48,COVID-902
16,28,5,33,52,7,20,50,14,4,32,54,26,3,44,56,37,29,17,31,29,32,40,19,6,39,4,3,56,59,49,COVID-1159
17,35,4,32,52,12,15,58,18,7,26,60,30,5,38,60,42,34,16,33,28,32,40,24,4,49,5,2,50,62,54,COVID-1233
18,27,3,33,60,1,20,56,14,0,35,58,28,2,49,58,43,28,17,30,31,32,46,13,4,40,1,3,63,61,57,COVID-1268
19,33,4,34,45,16,15,50,14,14,25,53,24,13,35,54,34,33,14,33,25,34,35,27,4,39,4,14,45,54,44,COVID-1313
20,28,11,27,58,8,22,47,23,6,34,48,35,5,45,49,46,28,22,28,34,28,46,15,10,42,11,4,57,48,58,COVID-1328
21,35,6,33,42,19,14,52,16,17,23,54,26,15,32,56,35,35,15,34,24,33,33,27,6,46,7,13,41,58,44,COVID-1397
22,33,11,33,55,14,22,53,22,13,33,54,33,13,44,55,44,33,22,33,33,33,44,22,11,47,11,11,54,57,55,COVID-1522
23,31,5,33,62,7,20,56,18,4,34,59,32,3,48,60,46,31,19,32,33,32,47,17,5,45,4,2,63,62,60,COVID-1533
24,24,16,30,47,4,28,43,20,2,37,48,27,1,45,51,34,26,24,27,32,29,39,11,19,36,14,0,53,54,42,COVID-1559
25,29,4,31,43,11,15,48,13,7,25,52,22,6,35,55,32,29,14,30,24,31,34,17,5,40,4,5,45,57,42,COVID-1589
26,34,8,33,51,11,18,55,19,8,29,58,30,5,40,60,41,33,19,33,30,33,40,20,8,48,8,2,51,61,52,COVID-1678
27,28,10,30,48,13,20,45,19,10,30,48,28,8,39,51,37,29,20,29,29,30,38,18,11,39,10,6,49,53,46,COVID-1727
28,34,3,32,37,20,10,48,12,15,18,51,21,13,27,52,30,34,11,33,20,33,28,27,2,42,3,11,35,52,38,COVID-1753
