0,30,13,32,46,11,22,50,21,8,31,54,29,7,39,56,37,31,21,31,30,31,38,18,14,42,13,6,47,58,45,625
1,31,7,32,57,13,20,48,19,10,32,52,32,9,44,53,44,31,19,31,32,31,44,19,7,43,7,7,57,54,56,1321
2,30,7,31,51,10,18,51,17,8,29,53,28,6,40,55,39,30,18,31,29,31,40,19,7,42,6,6,51,56,50,1043
3,30,10,29,44,11,18,47,19,9,27,48,27,7,35,50,36,29,19,29,27,29,36,16,10,41,10,5,44,51,44,9390
4,35,9,32,43,14,16,53,19,11,24,55,28,10,33,55,37,34,18,33,26,32,35,23,8,45,10,9,41,53,45,140
5,31,12,28,46,15,19,49,21,13,27,50,30,13,36,51,39,30,20,30,29,29,37,23,11,43,12,12,45,52,48,1533
6,36,12,34,47,17,20,54,21,14,28,55,30,12,37,56,39,35,20,35,29,35,38,26,11,46,12,10,46,58,48,1953
7,32,12,31,53,11,22,51,22,8,32,52,32,7,42,54,43,32,22,32,32,31,42,20,12,42,12,6,52,54,53,1970
8,32,7,32,40,9,16,52,15,4,24,56,23,1,32,59,31,32,15,32,24,32,32,18,7,43,7,0,40,59,40,1515
9,34,8,32,53,11,18,56,20,8,29,58,32,6,41,61,43,33,19,33,31,32,42,21,8,47,9,5,52,61,54,2255
10,32,12,31,50,13,21,50,22,11,31,51,31,9,40,54,41,32,22,32,31,31,41,20,12,44,12,8,50,55,50,40
11,28,4,31,47,6,17,52,13,3,27,55,24,2,38,58,34,29,15,30,25,31,36,14,5,44,3,1,49,60,44,738
12,29,9,33,46,14,20,46,17,11,29,51,26,11,39,52,35,30,18,31,28,32,37,20,10,39,8,11,48,53,45,1168
13,36,7,34,56,4,19,61,20,2,31,63,32,3,43,61,45,35,19,35,32,34,44,14,6,52,8,5,55,59,57,1843
14,26,11,34,51,10,24,48,17,7,35,52,27,8,46,56,36,28,21,30,31,32,41,16,13,38,8,9,56,59,46,1236
15,31,11,30,55,13,21,48,23,10,32,50,34,9,43,51,45,31,22,31,33,30,44,21,11,41,12,7,54,52,56,7279
16,32,9,30,47,15,17,49,19,12,27,52,29,11,36,52,38,32,18,31,28,31,37,21,8,44,10,9,45,53,48,3493
17,32,6,32,51,14,17,51,17,11,28,53,29,9,39,56,40,32,17,32,28,32,40,21,5,45,6,6,51,57,52,2068
